32	PACKET_2	parallel	131072	344.033997	1000	1	1	1
32	PACKET_2	serial	131072	288.848999	1000	1	1	1
32	PACKET_2	parallel	65536	192.651352	1000	1	1	2
32	PACKET_2	serial	131072	287.466675	1000	1	1	2
32	PACKET_2	parallel	43690	144.605667	1000	1	1	3
32	PACKET_2	serial	131072	287.452667	1000	1	1	3
32	PACKET_2	parallel	18724	102.674995	1000	1	1	7
32	PACKET_2	serial	131072	289.098328	1000	1	1	7
32	PACKET_2	parallel	8738	198.025330	1000	1	1	15
32	PACKET_2	serial	131072	287.813995	1000	1	1	15
32	PACKET_2	parallel	131072	396.892029	1000	1	4	1
32	PACKET_2	serial	131072	288.982330	1000	1	4	1
32	PACKET_2	parallel	65536	232.604004	1000	1	4	2
32	PACKET_2	serial	131072	288.684326	1000	1	4	2
32	PACKET_2	parallel	43690	189.269653	1000	1	4	3
32	PACKET_2	serial	131072	286.591003	1000	1	4	3
32	PACKET_2	parallel	18724	142.454666	1000	1	4	7
32	PACKET_2	serial	131072	289.294647	1000	1	4	7
32	PACKET_2	parallel	8738	240.214340	1000	1	4	15
32	PACKET_2	serial	131072	294.492004	1000	1	4	15
32	PACKET_2	parallel	131072	351.451660	1000	1	8	1
32	PACKET_2	serial	131072	290.828339	1000	1	8	1
32	PACKET_2	parallel	65536	194.314667	1000	1	8	2
32	PACKET_2	serial	131072	290.306000	1000	1	8	2
32	PACKET_2	parallel	43690	131.056000	1000	1	8	3
32	PACKET_2	serial	131072	289.734009	1000	1	8	3
32	PACKET_2	parallel	18724	109.634003	1000	1	8	7
32	PACKET_2	serial	131072	291.344666	1000	1	8	7
32	PACKET_2	parallel	8738	247.617676	1000	1	8	15
32	PACKET_2	serial	131072	290.581665	1000	1	8	15
32	PACKET_2	parallel	131072	636.148010	2000	1	1	1
32	PACKET_2	serial	131072	566.223022	2000	1	1	1
32	PACKET_2	parallel	65536	347.536652	2000	1	1	2
32	PACKET_2	serial	131072	566.215332	2000	1	1	2
32	PACKET_2	parallel	43690	234.094330	2000	1	1	3
32	PACKET_2	serial	131072	566.416992	2000	1	1	3
32	PACKET_2	parallel	18724	112.468002	2000	1	1	7
32	PACKET_2	serial	131072	566.377991	2000	1	1	7
32	PACKET_2	parallel	8738	178.345337	2000	1	1	15
32	PACKET_2	serial	131072	563.129944	2000	1	1	15
32	PACKET_2	parallel	131072	691.369019	2000	1	4	1
32	PACKET_2	serial	131072	566.470642	2000	1	4	1
32	PACKET_2	parallel	65536	366.290985	2000	1	4	2
32	PACKET_2	serial	131072	574.465698	2000	1	4	2
32	PACKET_2	parallel	43690	285.286316	2000	1	4	3
32	PACKET_2	serial	131072	571.861633	2000	1	4	3
32	PACKET_2	parallel	18724	176.669006	2000	1	4	7
32	PACKET_2	serial	131072	568.895691	2000	1	4	7
32	PACKET_2	parallel	8738	188.087677	2000	1	4	15
32	PACKET_2	serial	131072	567.436646	2000	1	4	15
32	PACKET_2	parallel	131072	634.744019	2000	1	8	1
32	PACKET_2	serial	131072	565.598022	2000	1	8	1
32	PACKET_2	parallel	65536	326.803650	2000	1	8	2
32	PACKET_2	serial	131072	568.137695	2000	1	8	2
